"","id","record_code","format_version","submission_date","reporting_agency","release_agency","tag_code_or_release_id","tag_type","first_sequential_number","last_sequential_number","related_group_type","related_group_id","species","run","brood_year","release_location_code","hatchery_location_code","stock_location_code","release_stage","rearing_type","study_type","release_strategy","avg_weight","avg_length","study_integrity","cwt_1st_mark","cwt_1st_mark_count","cwt_2nd_mark","cwt_2nd_mark_count","non_cwt_1st_mark","non_cwt_1st_mark_count","non_cwt_2nd_mark","non_cwt_2nd_mark_count","counting_method","tag_loss_rate","tag_loss_days","tag_loss_sample_size","tag_reused","comments","first_release_date_year","first_release_date_month","first_release_date_day","last_release_date_year","last_release_date_month","last_release_date_day"
"152","a91b42f2-47d4-44d8-bd25-22f0f51e5fae","T","5.0","20260809","WDFW","WDFW","638530","12",NA,NA,"D","04202400001192","1","1",2022,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",36.28,141,NA,"5000",35385,"0000",206,NA,NA,NA,NA,NA,NA,NA,517,NA,NA,2024,2,5,2024,2,13
"166","b48c4a7b-0f18-4b2e-b145-7f5365c7c9ae","N","5.0","20260809","WDFW","WDFW","!04P00197906",NA,NA,NA,NA,NA,"1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",39.1,141,NA,NA,NA,NA,NA,"5000",85488,"0000",412,NA,NA,NA,NA,NA,NA,2023,2,1,2023,2,13
"233","ea73e27d-1373-448e-b0df-01f8468ec8b3","T","5.0","20260809","WDFW","WDFW","638204","12",NA,NA,"D","04202300001146","1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",39.1,141,NA,"0000",32236,NA,NA,"0000",123,NA,NA,NA,0.0038,NA,524,NA,NA,2023,2,1,2023,2,13
"242","f11b525a-1090-4221-a9b2-29933ac459ed","T","5.0","20260809","WDFW","WDFW","638209","12",NA,NA,"D","04202300001146","1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",39.1,141,NA,"5000",32130,"0000",129,"5000",129,"0000",1,NA,0.004,NA,501,NA,NA,2023,2,1,2023,2,13
"116","7855e3ad-5586-4191-8803-710898f4374e","N","5.0","20260809","WDFW","WDFW","!04P00074936",NA,NA,NA,NA,NA,"1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",38.11,143,NA,NA,NA,NA,NA,"5000",109478,"0000",153,NA,NA,NA,NA,NA,NA,2014,10,1,2014,10,17
"222","d8a920de-023b-43a4-b542-4e098aa646c5","N","5.0","20260809","WDFW","WDFW","!04P00064839",NA,NA,NA,NA,NA,"1","1",2007,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",32.39,143,NA,NA,NA,NA,NA,"5000",301663,"0000",2035,NA,NA,NA,NA,NA,"VOLITIONALLY RELEASED ON 2/17 AND REMAINING FISH FORCED RELEASED ON 3/16.",2009,2,17,2009,3,16
"252","f85b7fd1-b50c-4686-9a0b-40bca0782779","T","5.0","20260809","WDFW","WDFW","631116","9",NA,NA,NA,NA,"1","1",1989,"3F42001^^270168^R","3F42001^^270168^H","3F42001^^270168^S","S","H","B",NA,50.39,143,"N","5000",138310,NA,NA,"0000",614057,"5000",7433,"B",NA,25,2110,"Y",NA,1991,3,25,1991,3,25
"263","4888cc44-7da9-405e-9b07-65adc8a99af7","N","5.0","20260809","WDFW","WDFW","!04P00042561",NA,NA,NA,NA,NA,"1","1",2003,"3F42001^^270168^R","3F42001^^270430^H","3F42001^^270168^S","Y","H",NA,NA,39.1,143,NA,NA,NA,NA,NA,"5000",47726,"0000",974,NA,NA,NA,NA,NA,NA,2005,2,15,2005,2,15
"10","0ba6ad60-247c-4d7f-b63a-46e403a289f3","N","5.0","20260809","WDFW","WDFW","!04P00077302",NA,NA,NA,NA,NA,"1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",35.43,144,NA,NA,NA,NA,NA,"5000",81783,"0000",115,NA,NA,NA,NA,NA,NA,2015,2,3,2015,2,6
"49","3041ef6a-c007-4c8b-8ce7-de089006fe68","T","5.0","20260809","WDFW","WDFW","638893","12",NA,NA,"D","04202600001302","1","1",2024,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",34.62,144,NA,"0000",31874,NA,NA,"0000",57,NA,NA,NA,0.0018,NA,553,NA,NA,2026,2,2,2026,2,11
"64","42ab32ff-e263-4f09-83d9-bd8ecff8953c","T","5.0","20260809","WDFW","WDFW","639106","12",NA,NA,"D","04202600001302","1","1",2024,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",34.62,144,NA,"5000",31905,NA,NA,NA,NA,NA,NA,NA,NA,NA,544,NA,NA,2026,2,2,2026,2,11
"80","4e0c0414-4139-4b1b-ba2b-70d513f79517","N","5.0","20260809","WDFW","WDFW","!04P00230916",NA,NA,NA,NA,NA,"1","1",2024,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",34.62,144,NA,NA,NA,NA,NA,"5000",27120,NA,NA,NA,NA,NA,NA,NA,NA,2026,2,2,2026,2,11
"102","6366eee0-eac6-49cd-87b2-f56eb65118fc","N","5.0","20260809","WDFW","WDFW","!04P00111236",NA,NA,NA,NA,NA,"1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",35.71,144,NA,NA,NA,NA,NA,"5000",95675,"0000",134,NA,NA,NA,NA,NA,NA,2015,2,3,2015,2,6
"127","897b6f45-a5e5-4858-be7d-868c5c7fda67","N","5.0","20260809","WDFW","WDFW","!04P00192263",NA,NA,NA,NA,NA,"1","1",2020,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",35.99,144,NA,NA,NA,NA,NA,"5000",99191,"0000",308,NA,NA,NA,NA,NA,NA,2022,2,2,2022,2,16
"178","b897522e-a399-4787-9060-eb7bebe7fd3c","T","5.0","20260809","WDFW","WDFW","637833","12",NA,NA,"D","04202200001106","1","1",2020,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",35.99,144,NA,"0000",37096,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,2022,2,2,2022,2,16
"202","c8a2218b-e287-4ecb-ae5a-6cf760419e21","T","5.0","20260809","WDFW","WDFW","637832","12",NA,NA,"D","04202200001106","1","1",2020,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",35.99,144,NA,"5000",36602,"0000",147,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,2022,2,2,2022,2,16
"272","bfd72b02-b004-4d39-a883-75b7a13c72d4","N","5.0","20260809","WDFW","WDFW","!04P00131799",NA,NA,NA,NA,NA,"1","1",2017,"3F42001^^270168^R01","3F42001^^270430^H","3F42001^^270168^S","Y","H",NA,"FR",37.48,144,NA,NA,NA,NA,NA,"0001",30663,"0000",307,NA,NA,NA,NA,NA,"BO=MIXED(HxW)",2018,11,27,2018,11,27
"52","34360b7d-8f30-4e84-b043-5135516f3f5c","N","5.0","20260809","WDFW","WDFW","!04P00078586",NA,NA,NA,NA,NA,"1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",39.78,145,NA,NA,NA,NA,NA,"5000",108932,"0000",153,NA,NA,NA,NA,NA,NA,2014,10,1,2014,10,17
"177","b7a3f34d-c74f-4aba-9e14-ec12d015114d","T","5.0","20260809","WDFW","WDFW","638653","12",NA,NA,"D","04202500001269","1","1",2023,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",37.79,145,NA,"0000",38198,NA,NA,"0000",73,NA,NA,NA,0.0019,NA,523,NA,NA,2025,2,1,2025,2,11
"209","cf245576-b7e9-45ba-91a6-ae9dd70ad394","N","5.0","20260809","WDFW","WDFW","!04P00222458",NA,NA,NA,NA,NA,"1","1",2023,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",37.79,145,NA,NA,NA,NA,NA,"5000",43296,"0000",52,NA,NA,NA,NA,NA,NA,2025,2,1,2025,2,11
"235","ec101132-26af-4fd5-a5c7-65de8fc44b15","T","5.0","20260809","WDFW","WDFW","638654","12",NA,NA,"D","04202500001269","1","1",2023,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",37.79,145,NA,"5000",38023,"0000",295,"5000",72,"0000",1,NA,0.0019,NA,517,NA,NA,2025,2,1,2025,2,11
"271","bd7991ed-8dd7-46f7-a3a5-f662440cf5a3","T","5.0","20260809","WDFW","WDFW","634239","0",NA,NA,NA,NA,"1","1",1990,"3F42001^^270168^R","3F42001^^270430^H","3F42001^^270168^S","S","H","B",NA,42.79,145,"N","5000",51147,NA,NA,"0000",275924,"5000",779,"B",NA,36,1836,NA,NA,1992,4,14,1992,4,14
"6","06177c75-c260-46e3-a1d9-2e412ac2bd4d","T","5.0","20260809","WDFW","WDFW","637478","12",NA,NA,"O","04202000001004","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",37.79,146,NA,"5000",35299,"0000",356,"5000",357,"0000",4,NA,0.01,NA,500,NA,"AD+CWT",2020,2,11,2020,2,28
"9","0ae40e8d-7733-41a6-b2d0-c844031f99af","N","5.0","20260809","WDFW","WDFW","!04P00167378",NA,NA,NA,NA,NA,"1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",36.87,146,NA,NA,NA,NA,NA,"5000",152776,"0000",629,NA,NA,NA,NA,NA,"AD ONLY",2020,10,21,2020,10,29
"62","4291228a-b0ad-48a5-aa7a-18b964c94f7e","N","5.0","20260809","WDFW","WDFW","!04P00150803",NA,NA,NA,NA,NA,"1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",37.79,146,NA,NA,NA,NA,NA,"5000",93826,"0000",623,NA,NA,NA,NA,NA,"AD ONLY",2020,2,11,2020,2,28
"96","5f67595d-b9da-455a-919c-30320f324ab7","T","5.0","20260809","WDFW","WDFW","630303","0",NA,NA,NA,NA,"1","1",1997,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,NA,38.63,146,NA,"5000",224432,"0000",3418,"5000",10109,"0000",154,NA,0.0431,NA,NA,NA,NA,1999,4,5,1999,4,5
"114","765c4e24-d3d1-450b-985d-52fc9980386e","N","5.0","20260809","WDFW","WDFW","!04P00167375",NA,NA,NA,NA,NA,"1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",36.28,146,NA,NA,NA,NA,NA,"5000",154214,"0000",635,NA,NA,NA,NA,NA,"AD ONLY",2020,10,21,2020,10,29
"128","89abe449-4d5b-4795-b28d-9de6778117dd","T","5.0","20260809","WDFW","WDFW","635247","9",NA,NA,NA,NA,"1","1",1988,"3F42001^^270168^R","3F42001^^270168^H","3F42001^^270168^S","S","H","B",NA,50.39,146,"N","5000",113890,NA,NA,"0000",68600,"5000",8310,"B",NA,75,2145,NA,NA,1990,4,6,1990,4,6
"140","99059a08-ebfb-4e8f-96a2-a8dd8c28f1d1","N","5.0","20260809","WDFW","WDFW","!04P00167385",NA,NA,NA,NA,NA,"1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",37.48,146,NA,NA,NA,NA,NA,"5000",154499,"0000",636,NA,NA,NA,NA,NA,"AD ONLY",2020,10,21,2020,10,29
"159","b17afe54-757c-46d2-a042-3af3beb525db","N","5.0","20260809","WDFW","WDFW","!04P00181365",NA,NA,NA,NA,NA,"1","1",2020,"3F42001^^270168^R","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",35.43,146,NA,NA,NA,NA,NA,"5000",197422,"0000",1532,NA,NA,NA,NA,NA,NA,2021,10,1,2021,10,15
"172","b64662b8-8535-4b31-88db-8f995ce8fb4f","N","5.0","20260809","WDFW","WDFW","!04P00077305",NA,NA,NA,NA,NA,"1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",35.71,146,NA,NA,NA,NA,NA,"5000",99344,"0000",139,NA,NA,NA,NA,NA,NA,2015,2,3,2015,2,6
"179","b992237f-6516-45b6-9590-ad649ce54a7e","N","5.0","20260809","WDFW","WDFW","!04P00208618",NA,NA,NA,NA,NA,"1","1",2022,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",35.43,146,NA,NA,NA,NA,NA,"5000",198580,"0000",378,NA,NA,NA,NA,NA,NA,2023,10,4,2023,10,13
"183","b9e4d240-4ee9-4db5-a4fe-9628fdccf58b","T","5.0","20260809","WDFW","WDFW","637482","12",NA,NA,"O","04202000001004","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",37.79,146,NA,"0000",35585,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,"CWT ONLY",2020,2,11,2020,2,28
"221","d858f79f-416c-40b5-b012-7b48a9ec7a5d","N","5.0","20260809","WDFW","WDFW","!04P00181362",NA,NA,NA,NA,NA,"1","1",2020,"3F42001^^270168^R","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",35.99,146,NA,NA,NA,NA,NA,"5000",196124,"0000",1522,NA,NA,NA,NA,NA,NA,2021,10,1,2021,10,15
"276","f6b9026d-fdc3-44d9-a2ee-162981bc83a8","N","5.0","20260809","WDFW","WDFW","!04P00048316",NA,NA,NA,NA,NA,"1","1",2003,"3F42001^^270168^R","3F42001^^270430^H","3F42001^^270168^S","Y","H",NA,NA,40.86,146,NA,NA,NA,NA,NA,"5000",32634,"0000",666,NA,NA,NA,NA,NA,NA,2005,2,15,2005,2,15
"37","268114fe-3343-470c-8bba-7e532dcedefb","N","5.0","20260809","WDFW","WDFW","!04P00167383",NA,NA,NA,NA,NA,"1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",37.48,147,NA,NA,NA,NA,NA,"0000",72,NA,NA,NA,NA,NA,NA,NA,"CWT ONLY",2020,10,21,2020,10,29
"46","2d226f3c-2f40-49b2-b18e-8c936b51a8e5","N","5.0","20260809","WDFW","WDFW","!04P00167381",NA,NA,NA,NA,NA,"1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",37.48,147,NA,NA,NA,NA,NA,"5000",156762,"0000",645,NA,NA,NA,NA,NA,"AD ONLY",2020,10,21,2020,10,29
"65","42e35b33-1b7d-44da-8dac-93f78ecdc248","T","5.0","20260809","WDFW","WDFW","637662","12",NA,NA,"D","04202000001069","1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",37.48,147,NA,"5000",37012,"0000",75,"5000",75,NA,NA,NA,0.002,NA,2500,NA,"AD+",2020,10,21,2020,10,29
"68","461e232c-8624-4590-8fdb-d4998862f2df","N","5.0","20260809","WDFW","WDFW","!04P00167388",NA,NA,NA,NA,NA,"1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",37.17,147,NA,NA,NA,NA,NA,"5000",157980,"0000",650,NA,NA,NA,NA,NA,"AD ONLY",2020,10,21,2020,10,29
"88","5614b187-12cc-4e19-8d0f-b7dd03a1ffb3","N","5.0","20260809","WDFW","WDFW","!04P00181356",NA,NA,NA,NA,NA,"1","1",2020,"3F42001^^270168^R","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",36.28,147,NA,NA,NA,NA,NA,"5000",197910,"0000",1536,NA,NA,NA,NA,NA,NA,2021,10,1,2021,10,15
"99","60cfc142-aeca-438b-a56d-57071670f044","T","5.0","20260809","WDFW","WDFW","637828","12",NA,NA,"D","04202100001104","1","1",2020,"3F42001^^270168^R","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",36.87,147,NA,"0000",38327,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,2021,10,1,2021,10,15
"158","b0ad7c8c-9f77-4e48-baf5-e99e2c32e19a","N","5.0","20260809","WDFW","WDFW","!04P00181359",NA,NA,NA,NA,NA,"1","1",2020,"3F42001^^270168^R","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",36.87,147,NA,NA,NA,NA,NA,"5000",196847,"0000",1527,NA,NA,NA,NA,NA,NA,2021,10,1,2021,10,15
"167","b4bbb1e3-f358-4a6d-80c7-9fe947019f95","N","5.0","20260809","WDFW","WDFW","!04P00207651",NA,NA,NA,NA,NA,"1","1",2022,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"FR",35.43,147,NA,NA,NA,NA,NA,"5000",200481,"0000",382,NA,NA,NA,NA,NA,NA,2023,10,3,2023,10,4
"169","b59bb6ed-5fd5-483e-9e42-cb1a6421529e","N","5.0","20260809","WDFW","WDFW","!04P00153897",NA,NA,NA,NA,NA,"1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",37.79,147,NA,NA,NA,NA,NA,"5000",175922,"0000",955,NA,NA,NA,NA,NA,"AD ONLY",2019,10,1,2019,10,17
"206","cde61ed5-52de-4ef6-9cd2-8e748f8f8504","T","5.0","20260809","WDFW","WDFW","637829","12",NA,NA,"D","04202100001104","1","1",2020,"3F42001^^270168^R","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",36.87,147,NA,"5000",37378,NA,NA,"5000",76,NA,NA,NA,0.002,NA,2000,NA,NA,2021,10,1,2021,10,15
"210","d06839e8-c470-4057-9863-6d7511f87d92","T","5.0","20260809","WDFW","WDFW","637666","12",NA,NA,"D","04202000001069","1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",37.48,147,NA,"0000",37210,NA,NA,"0000",15,NA,NA,NA,0.002,NA,2500,NA,"CWT ONLY",2020,10,21,2020,10,29
"249","f49d11b4-bbfe-470e-a813-38c78b8b45c7","N","5.0","20260809","WDFW","WDFW","!04P00229551",NA,NA,NA,NA,NA,"1","1",2024,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"FR",37.48,147,NA,NA,NA,NA,NA,"5000",178941,"0000",466,NA,NA,NA,NA,NA,NA,2025,10,2,2025,10,3
"270","9cb0c502-1046-4df2-9de5-28ec7986e25d","N","5.0","20260809","WDFW","WDFW","!04P00051454",NA,NA,NA,NA,NA,"1","1",2003,"3F42001^^270168^R","3F42001^^270430^H","3F42001^^270168^S","Y","H",NA,NA,39.78,147,NA,NA,NA,NA,NA,"5000",15288,"0000",312,NA,NA,NA,NA,NA,NA,2005,2,15,2005,2,15
"33","236e26d1-c6cf-4810-a750-e5b4484924c3","T","5.0","20260809","WDFW","WDFW","636617","12",NA,NA,"D","04201400000784","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H","P","VO",40.86,148,NA,"5000",51037,"0000",72,"5000",96,NA,NA,NA,0.0019,NA,1590,NA,NA,2014,10,1,2014,10,17
"75","49af9278-a437-42b6-ac3b-02be745ba646","T","5.0","20260809","WDFW","WDFW","636618","12",NA,NA,"D","04201400000784","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H","P","VO",40.86,148,NA,"0000",50777,NA,NA,NA,NA,NA,NA,NA,NA,NA,1635,NA,NA,2014,10,1,2014,10,17
"106","6b27780a-fad9-4656-9705-37f8640cb426","N","5.0","20260809","WDFW","WDFW","!04P00133880",NA,NA,NA,NA,NA,"1","1",2017,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",36.28,148,NA,NA,NA,NA,NA,"5000",158514,"0000",861,NA,NA,NA,NA,NA,NA,2018,10,17,2018,10,31
"110","71f1a381-3444-42cb-b287-ad13c1f05860","N","5.0","20260809","WDFW","WDFW","!04P00222253",NA,NA,NA,NA,NA,"1","1",2023,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",36.57,148,NA,NA,NA,NA,NA,"5000",193424,"0000",933,NA,NA,NA,NA,NA,NA,2024,10,1,2024,10,14
"115","7751884d-12b8-4f2e-933c-3a5df82a6787","N","5.0","20260809","WDFW","WDFW","!04P00170941",NA,NA,NA,NA,NA,"1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"FR",37.79,148,NA,NA,NA,NA,NA,"5000",342,"0000",1,NA,NA,NA,NA,NA,"AD ONLY",2021,3,15,2021,3,15
"129","89b3c2e3-8e18-49a9-9588-32340b5f0c35","N","5.0","20260809","WDFW","WDFW","!04P00153904",NA,NA,NA,NA,NA,"1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",41.23,148,NA,NA,NA,NA,NA,"5000",174482,"0000",947,NA,NA,NA,NA,NA,"AD ONLY",2019,10,1,2019,10,17
"153","aacf4d1d-1dec-48d0-a105-699ad25a9c93","N","5.0","20260809","WDFW","WDFW","!04P00208625",NA,NA,NA,NA,NA,"1","1",2022,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",37.48,148,NA,NA,NA,NA,NA,"5000",191215,"0000",364,NA,NA,NA,NA,NA,NA,2023,10,23,2023,10,25
"165","b3b89ec7-6655-443e-9200-6820c4e297e6","T","5.0","20260809","WDFW","WDFW","637661","12",NA,NA,"D","04202100001068","1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",37.81,148,NA,"5000",34746,"0000",140,"5000",140,"0000",1,NA,0.004,NA,1000,NA,"AD+",2021,2,3,2021,3,15
"190","c10d6253-a64c-4fd0-8f8b-0f12e5df2436","N","5.0","20260809","WDFW","WDFW","!04P00074942",NA,NA,NA,NA,NA,"1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",40.86,148,NA,NA,NA,NA,NA,"5000",109452,"0000",153,NA,NA,NA,NA,NA,NA,2014,10,1,2014,10,17
"196","c5539016-e416-4ea7-8cf6-8f9257bfbbe2","T","5.0","20260809","WDFW","WDFW","637665","12",NA,NA,"D","04202100001068","1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",37.79,148,NA,"0000",35077,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,"CWT ONLY",2021,2,3,2021,3,15
